asin,title,author,description,text
0988489198,Behind His Eyes - Consequences,Aleatha Romig,,Behind His Eyes - Consequences by Aleatha Romig
0988695103,Forever My Girl,Heidi McLaughlin,,Forever My Girl by Heidi McLaughlin
0988695111,,,,0988695111
098869512X,Love Me,Jillian Dodd,,Love Me by Jillian Dodd
098870742X,Wanted,Kelly Elliott,,Wanted by Kelly Elliott
0988707470,,,,0988707470
0988707489,Broken,Kelly Elliott,"""Layton Morris and his brother Mike grew up not knowing what it would be like to live in a normal home. With no running water or electricity in their home, no parents around to protect them, they quickly learned how to survive and depend only on each other. When a tragic accident takes Mike away from Layton, and the only other person that he ever let into his heart walked away from him, leaving his heart shattered, Layton focuses all of his time and energy into the ranch he and his brother dreamed of. He makes a vow to himself to never let love in again. The last thing Layton needed or wanted was more heartache. Whitley Reynolds grew up in a privileged home in upstate New York. When she landed the star football player in high school no one was surprised, not even Whitley. She dreamed of a life with Roger living in New York City and happily followed him there. The first time Roger hit her for arguing with him about a dinner party, she forgave him. The more it happened, the further Whitley withdrew from her friends and family. One fateful day things go to far. Whitley makes a promise to herself and finds the courage to do the one thing she thought she'd never be able to do. Fleeing with her best friend Courtney, Whitley was determined to put her past behind her and start a new life in the small town of Llano, Texas, where no one would ever find out about her past. Will they both ever learn to trust and love again, or will their pasts come back to haunt them, keeping them both alone and ... Broken""--Page 4 of cover.","Broken by Kelly Elliott. ""Layton Morris and his brother Mike grew up not knowing what it would be like to live in a normal home. With no running water or electricity in their home, no parents around to protect them, they quickly learned how to survive and depend only on each other. When a tragic accident takes Mike away from Layton, and the only other person that he ever let into his heart walked away from him, leaving his heart shattered, Layton focuses all of his time and energy into the ranch he and his brother dreamed of. He makes a vow to himself to never let love in again. The last thing Layton needed or wanted was more heartache. Whitley Reynolds grew up in a privileged home in upstate New York. When she landed the star football player in high school no one was surprised, not even Whitley. She dreamed of a life with Roger living in New York City and happily followed him there. The first time Roger hit her for arguing with him about a dinner party, she forgave him. The more it happened, the further Whitley withdrew from her friends and family. One fateful day things go to far. Whitley makes a promise to herself and finds the courage to do the one thing she thought she'd never be able to do. Fleeing with her best friend Courtney, Whitley was determined to put her past behind her and start a new life in the small town of Llano, Texas, where no one would ever find out about her past. Will they both ever learn to trust and love again, or will their pasts come back to haunt them, keeping them both alone and ... Broken""--Page 4 of cover."
0988715805,,,,0988715805
098871583X,Arouse,Nina Lane,"Struggling with a tormented past, undergraduate Olivia Winter once led a practical but isolated life. Then she met Professor Dean West, a brilliant scholar of medieval history who melted Liv's inhibitions and taught her the meaning of both love and pleasure. But after three years of a blissful, lusty marriage, Liv and Dean now face a crisis that threatens everything they believe about each other. And when dark secrets and temptations rise to the surface, the fallout might break them apart forever.","Arouse by Nina Lane. Struggling with a tormented past, undergraduate Olivia Winter once led a practical but isolated life. Then she met Professor Dean West, a brilliant scholar of medieval history who melted Liv's inhibitions and taught her the meaning of both love and pleasure. But after three years of a blissful, lusty marriage, Liv and Dean now face a crisis that threatens everything they believe about each other. And when dark secrets and temptations rise to the surface, the fallout might break them apart forever."
0988715880,Awaken,Nina Lane,,Awaken by Nina Lane
0988742942,"Tall, Tatted and Tempting",Tammy Falkner,,"Tall, Tatted and Tempting by Tammy Falkner"
0988771373,Him,,,Him by 
098877139X,,,,098877139X
0988812517,Vain,Fisher Amelie,,Vain by Fisher Amelie
0988812541,Greed,Fisher Amelie,,Greed by Fisher Amelie
0989041697,Hustle Me,Jennifer Foor,,Hustle Me by Jennifer Foor
0989104400,Falling Into You,Jasinda Wilder,,Falling Into You by Jasinda Wilder
0989104427,Falling into Us,Jasinda Wilder,,Falling into Us by Jasinda Wilder
0989104478,,,,0989104478
0989108155,Crash Into Me,K.M. Scott,,Crash Into Me by K.M. Scott
0989108171,Fall Into Me (Heart of Stone) (Volume 2),K.M. Scott,,Fall Into Me (Heart of Stone) (Volume 2) by K.M. Scott
0989108198,Give in to Me,K.M. Scott,,Give in to Me by K.M. Scott
0989117375,Double Full,Kindle Alexander,,Double Full by Kindle Alexander
0989138607,Sweet Thing,Renee Carlino,,Sweet Thing by Renee Carlino
0989138631,Sweet Little Thing,Renee Carlino,,Sweet Little Thing by Renee Carlino
0989210987,Adore me,Jillian Dodd,,Adore me by Jillian Dodd
0989246515,,,,0989246515
0989246531,,,,0989246531
0989247910,Undeclared,Jen Frederick,,Undeclared by Jen Frederick
0989247953,,,,0989247953
0989247988,,,,0989247988
0989269833,,,,0989269833
0989269868,,,,0989269868
0989281000,Neanderthal Seeks Human,Penny Reid,,Neanderthal Seeks Human by Penny Reid
0989283410,Worthy of Redemption,L.D. Davis,,Worthy of Redemption by L.D. Davis
0989339211,Addicted to You,Krista Ritchie,,Addicted to You by Krista Ritchie
0989339246,Addicted for Now (Addicted #2),Krista Ritchie,,Addicted for Now (Addicted #2) by Krista Ritchie
0989339270,Ricochet,Krista Ritchie,,Ricochet by Krista Ritchie
0989339289,,,,0989339289
0989353656,Falling Into Infinity (Infinity Series) (Volume 1),Layne Harper,,Falling Into Infinity (Infinity Series) (Volume 1) by Layne Harper
0989373819,,,,0989373819
0989373827,Finding My Forever,Heidi McLaughlin,,Finding My Forever by Heidi McLaughlin
0989373843,Finding my way,"McLaughlin, Heidi (Romance fiction writer)","Liam Westbury has the world at his feet. He's the quintessential golden boy. He's the superstar quarterback for Beaumont High. His girl, Josie, is head cheerleader. He has his choice of colleges just waiting for him. Except he's suffocating from all the pressure he's under and no one understands. Liam Page is the heartthrob he never wanted to be. He's successful, smart and in demand by record companies and his adoring fans. Music is his passion, his love, but something's missing. His nights are lonely and he longs for the girl he left behind. Seeing her in every face in the crowd haunts him with the knowledge that she hates him. Going home has never been an option until now. Be there when Liam Westbury becomes Liam Page and follow the highs and lows of the Quarterback turned rockstar as he finds a way back to Beaumont in this prequel to Forever My Girl.","Finding my way by McLaughlin, Heidi (Romance fiction writer). Liam Westbury has the world at his feet. He's the quintessential golden boy. He's the superstar quarterback for Beaumont High. His girl, Josie, is head cheerleader. He has his choice of colleges just waiting for him. Except he's suffocating from all the pressure he's under and no one understands. Liam Page is the heartthrob he never wanted to be. He's successful, smart and in demand by record companies and his adoring fans. Music is his passion, his love, but something's missing. His nights are lonely and he longs for the girl he left behind. Seeing her in every face in the crowd haunts him with the knowledge that she hates him. Going home has never been an option until now. Be there when Liam Westbury becomes Liam Page and follow the highs and lows of the Quarterback turned rockstar as he finds a way back to Beaumont in this prequel to Forever My Girl."
0989416402,,,,0989416402
0989416410,Off Sides,Sawyer Bennett,,Off Sides by Sawyer Bennett
0989416429,,,,0989416429
0989416496,Off Chance,Sawyer Bennett,,Off Chance by Sawyer Bennett
0989450201,Driven,K. Bromberg,,Driven by K. Bromberg
0989450236,Fueled,K. Bromberg,"""How is it the one thing neither of us wanted - neither of us anticipated that fateful night - has us fighting so hard to keep?  We are driven by need and fueled with desire, but is that enough for us to crash into love?"" -- Back cover.","Fueled by K. Bromberg. ""How is it the one thing neither of us wanted - neither of us anticipated that fateful night - has us fighting so hard to keep?  We are driven by need and fueled with desire, but is that enough for us to crash into love?"" -- Back cover."
0989450252,Crashed,K. Bromberg,"Every single moment prepares you for that one instance that defines your life.... The minute Rylee fell out of that damn storage closet, she made Colton whole when all he thought he could ever be was incomplete. But can they break down walls, learn to trust and heal from their pasts? Will the repercussions make them stronger... or break them apart?","Crashed by K. Bromberg. Every single moment prepares you for that one instance that defines your life.... The minute Rylee fell out of that damn storage closet, she made Colton whole when all he thought he could ever be was incomplete. But can they break down walls, learn to trust and heal from their pasts? Will the repercussions make them stronger... or break them apart?"
0989465004,Hearts in darkness,Laura Kaye,"Makenna James thinks her day can't get any worse, until she finds herself stuck in a pitch-black elevator with a complete stranger. Distracted by a phone call and juggling too much stuff, the pin-striped accountant caught only a glimpse of a dragon tattoo on his hand before the lights went out. Caden Grayson is amused when a redhead literally falls at his feet. His amusement turns to panic when the power fails. Despite his piercings, tats, and vicious scar, he's terrified of the dark and confined spaces. Now, he's trapped in his own worst nightmare. To fight fear, they must both reach out and open up. With no preconceived notions based on looks to hold them back, they discover just how much they have in common. In the warming darkness, attraction grows and sparks fly, but will they feel the same when the lights come back on?","Hearts in darkness by Laura Kaye. Makenna James thinks her day can't get any worse, until she finds herself stuck in a pitch-black elevator with a complete stranger. Distracted by a phone call and juggling too much stuff, the pin-striped accountant caught only a glimpse of a dragon tattoo on his hand before the lights went out. Caden Grayson is amused when a redhead literally falls at his feet. His amusement turns to panic when the power fails. Despite his piercings, tats, and vicious scar, he's terrified of the dark and confined spaces. Now, he's trapped in his own worst nightmare. To fight fear, they must both reach out and open up. With no preconceived notions based on looks to hold them back, they discover just how much they have in common. In the warming darkness, attraction grows and sparks fly, but will they feel the same when the lights come back on?"
0989492508,Eversea,Natasha Boyd,,Eversea by Natasha Boyd
0989492559,"Forever, Jack",Natasha Boyd,,"Forever, Jack by Natasha Boyd"
0989527417,Branded,Abi Ketner,"Fifty years ago the Commander came into power and murdered all who opposed him. In his warped mind, the seven deadly sins were the downfall of society. He created the Hole where sinners are branded according to their sins and might survive a few years. At best. Now LUST wraps around my neck like blue fingers strangling me. I've been accused of a crime I didn't commit and now the Hole is my new home. DARKNESS. DEATH. VIOLENCE. PAIN. Now every day is a fight for survival. But I won't die. I won't let them win. The Hole can't keep me. The Hole can't break me. I am more than my brand I'm a fighter. My name is Lexi Hamilton, and this is my story.","Branded by Abi Ketner. Fifty years ago the Commander came into power and murdered all who opposed him. In his warped mind, the seven deadly sins were the downfall of society. He created the Hole where sinners are branded according to their sins and might survive a few years. At best. Now LUST wraps around my neck like blue fingers strangling me. I've been accused of a crime I didn't commit and now the Hole is my new home. DARKNESS. DEATH. VIOLENCE. PAIN. Now every day is a fight for survival. But I won't die. I won't let them win. The Hole can't keep me. The Hole can't break me. I am more than my brand I'm a fighter. My name is Lexi Hamilton, and this is my story."
0989598403,The Law of Attraction,N.M. Silber,,The Law of Attraction by N.M. Silber
0989668401,Out of Line,Jen McLaughlin,,Out of Line by Jen McLaughlin
0989713482,Raising Ryann,Alyssa Rae Taylor,,Raising Ryann by Alyssa Rae Taylor
0989740617,A Beautiful Mess,T. K. Leigh,,A Beautiful Mess by T. K. Leigh
0989740633,,,,0989740633
0989768406,Hardwired,Meredith Wild,,Hardwired by Meredith Wild
0989769704,,,,0989769704
0989780716,,,,0989780716
0989825086,Night Moves,Andrea Smith,,Night Moves by Andrea Smith
0991105419,,,,0991105419
0991127390,Toxic,Rachel Van Dyken,,Toxic by Rachel Van Dyken
0991192818,Nocturnes,Kendall Grey,,Nocturnes by Kendall Grey
0991309618,Cherished,Kelly Elliott,,Cherished by Kelly Elliott
0991309634,Believe,Kelly Elliott,,Believe by Kelly Elliott
0991309650,Broken dreams,Kelly Elliott,"""Courtney Will always dreamed of finding her Prince Charming and living happily ever after, like in the fairy tales she read as a child. Her dreams were shattered one fateful night when her prince turned out to be her worst nightmare. Burying herself in her job as an editor, Courtney tried to forget her past, and she lost hope of ever finding true love. Reed Moore's past filled his world with guilt and anger, and then a mistake in college deepened these feelings. Fearing he will one day repeat his father's mistakes with the woman he loves, Reed has vowed to never give his heart to anyone. Reed and Courtney have each spent years building walls to guard their hearts; so when their feelings for one another explode into something unexpected, they argue and throw hurtful words at each other in hopes of avoiding the truth. Will Reed end up being the Prince Charming Courtney has dreamed of her entire life? Is Courtney the woman who will help Reed move past the guilt and anger, so he can embrace love? Can their broken dreams become their happily ever after?""--Page 4 of cover.","Broken dreams by Kelly Elliott. ""Courtney Will always dreamed of finding her Prince Charming and living happily ever after, like in the fairy tales she read as a child. Her dreams were shattered one fateful night when her prince turned out to be her worst nightmare. Burying herself in her job as an editor, Courtney tried to forget her past, and she lost hope of ever finding true love. Reed Moore's past filled his world with guilt and anger, and then a mistake in college deepened these feelings. Fearing he will one day repeat his father's mistakes with the woman he loves, Reed has vowed to never give his heart to anyone. Reed and Courtney have each spent years building walls to guard their hearts; so when their feelings for one another explode into something unexpected, they argue and throw hurtful words at each other in hopes of avoiding the truth. Will Reed end up being the Prince Charming Courtney has dreamed of her entire life? Is Courtney the woman who will help Reed move past the guilt and anger, so he can embrace love? Can their broken dreams become their happily ever after?""--Page 4 of cover."
0991309693,Unconditional Love,Kelly Elliott,,Unconditional Love by Kelly Elliott
0991379616,Forever with you,Laurelin Paige,"Alayna's relationship with Hudson is tested when he keeps secrets from her. When she finally learns the truth, the results are devastating.","Forever with you by Laurelin Paige. Alayna's relationship with Hudson is tested when he keeps secrets from her. When she finally learns the truth, the results are devastating."
0991379632,Fixed on you,Laurelin Paige,"Alayna Wither is trying to keep her obsessive love disorder in check, but when she meets Hudson Pierce, the new owner of the nightclub where she works, her plans to stay in control of her obsession are put to the test.","Fixed on you by Laurelin Paige. Alayna Wither is trying to keep her obsessive love disorder in check, but when she meets Hudson Pierce, the new owner of the nightclub where she works, her plans to stay in control of her obsession are put to the test."
0991379659,The fixed trilogy,Laurelin Paige,"The complete trilogy, now available in one cover! There's a new dominant in town-- and a stalker, and an obsessive love disorder... to name just a few.... Alayna plans to move up at the nightclub she works at, but she didn't figure on Hudson, the new owner of the nightclub. He's smart, rich, and gorgeous... wants her in his bed... and makes no secret of it. Can they ever build a foundation that's based on more than just amazing sex? Will their pasts ever stop pulling them into a web of unfounded mistrust? Will a future together always be out of reach?","The fixed trilogy by Laurelin Paige. The complete trilogy, now available in one cover! There's a new dominant in town-- and a stalker, and an obsessive love disorder... to name just a few.... Alayna plans to move up at the nightclub she works at, but she didn't figure on Hudson, the new owner of the nightclub. He's smart, rich, and gorgeous... wants her in his bed... and makes no secret of it. Can they ever build a foundation that's based on more than just amazing sex? Will their pasts ever stop pulling them into a web of unfounded mistrust? Will a future together always be out of reach?"
0991401115,Behind His Eyes - Truth,Aleatha Romig,,Behind His Eyes - Truth by Aleatha Romig
0991426711,Unraveled,Jen Frederick,"Twenty-five-year-old Sgt. Gray Phillips is at a crossroads in his life: stay in the Marine Corps or get out and learn to be a civilian? He's got forty-five days of leave to make up his mind but the people in his life aren't making the decision any easier. His dad wants him to get out; his grandfather wants him to stay in. And his growing feelings for Sam Anderson are wreaking havoc with his heart ... and his mind. He believes relationships get ruined when a Marine goes on deployment. So now he's got an even harder decision to make: take a chance on Sam or leave love behind and give his all to the Marines. Twenty-two year old Samantha Anderson lost her husband to an IED in Afghanistan just two months after their vows. Two years later, Sam is full of regrets-that she didn't move with her husband to Alaska; that she allowed her friends to drift away; that she hasn't taken many chances in life. Now, she's met Gray and taking a risk on this Marine could be her one opportunity to feel alive and in love again. But how can she risk her heart on another military man who could share the same tragic fate as her husband?","Unraveled by Jen Frederick. Twenty-five-year-old Sgt. Gray Phillips is at a crossroads in his life: stay in the Marine Corps or get out and learn to be a civilian? He's got forty-five days of leave to make up his mind but the people in his life aren't making the decision any easier. His dad wants him to get out; his grandfather wants him to stay in. And his growing feelings for Sam Anderson are wreaking havoc with his heart ... and his mind. He believes relationships get ruined when a Marine goes on deployment. So now he's got an even harder decision to make: take a chance on Sam or leave love behind and give his all to the Marines. Twenty-two year old Samantha Anderson lost her husband to an IED in Afghanistan just two months after their vows. Two years later, Sam is full of regrets-that she didn't move with her husband to Alaska; that she allowed her friends to drift away; that she hasn't taken many chances in life. Now, she's met Gray and taking a risk on this Marine could be her one opportunity to feel alive and in love again. But how can she risk her heart on another military man who could share the same tragic fate as her husband?"
0991426738,,,,0991426738
0991587200,,,,0991587200
0991686004,Ten Tiny Breaths,K. A. Tucker,,Ten Tiny Breaths by K. A. Tucker
099173274X,Torn from You,Nashoda Rose,,Torn from You by Nashoda Rose
0991732766,With You,Nashoda Rose,,With You by Nashoda Rose
0991841131,,,,0991841131
0991841174,,,,0991841174
0992106818,Rumor has it,Elisabeth Grace,"All publicity is good publicity, right? Unless you're recent college grad Ellie Wagner and an embarrassing video of you and your boyfriend goes viral. Every man in your life abandons you, but who knew a one-minute clip of your latest doomed relationship would brand you a slut, prevent you from getting your perfect job, and force you to keep doing the one thing you swore you'd never do again ... live with your mother. But staying with mom and her latest boy-toy (is this husband number four or five?) until your life turns around might not be all bad. Especially when you fall-literally-at the feet of a sexy, green-eyed stranger who offers you freedom and a life of luxury on a gold-rimmed platter. There's only one little problem-the man of your dreams is none other than Mason Nash, the latest hip-hop star busting up the music charts. Fame and fortune are his calling cards and he's vying to steal the show on a new reality TV series that will catapult him into mainstream stardom. Hello spotlight. The man behind the famous persona is perfect for Ellie in every way, but can she overcome the ugly pitfalls that come with Mason's celebrity status? Or will she be forced to choose between the man she loves and the independent life she longs for? After all, fame and fortune aren't always what they seem and not all publicity is good publicity.--Back cover.","Rumor has it by Elisabeth Grace. All publicity is good publicity, right? Unless you're recent college grad Ellie Wagner and an embarrassing video of you and your boyfriend goes viral. Every man in your life abandons you, but who knew a one-minute clip of your latest doomed relationship would brand you a slut, prevent you from getting your perfect job, and force you to keep doing the one thing you swore you'd never do again ... live with your mother. But staying with mom and her latest boy-toy (is this husband number four or five?) until your life turns around might not be all bad. Especially when you fall-literally-at the feet of a sexy, green-eyed stranger who offers you freedom and a life of luxury on a gold-rimmed platter. There's only one little problem-the man of your dreams is none other than Mason Nash, the latest hip-hop star busting up the music charts. Fame and fortune are his calling cards and he's vying to steal the show on a new reality TV series that will catapult him into mainstream stardom. Hello spotlight. The man behind the famous persona is perfect for Ellie in every way, but can she overcome the ugly pitfalls that come with Mason's celebrity status? Or will she be forced to choose between the man she loves and the independent life she longs for? After all, fame and fortune aren't always what they seem and not all publicity is good publicity.--Back cover."
0992142202,Break In Two,M J Summers,,Break In Two by M J Summers
0992466512,,,,0992466512
0993702325,Overwhelmed by You,Nashoda Rose,,Overwhelmed by You by Nashoda Rose
0996053018,,,,0996053018
1250050367,Rules of entanglement,Gina L. Maxwell,"""District Attorney Vanessa MacGregor firmly believes that structure and order are the stuff that dreams are made of. Happiness can be planned-and it starts with the seven rules she's laid out for her future. But as she's organizing her best friend's wedding in Hawaii, all of Vanessa's best-laid plans are about to meet their match in a wickedly hot MMA fighter. Jackson ""Jax"" Maris is focused on surfing, training, and fighting. That is, until he opens up his big mouth and finds himself having to pretend he's engaged to his little sister's best friend, Vanessa. When they're forced to share a romantic bungalow, however, their little charade suddenly takes a turn for the seriously sexy. And while Jax is definitely not part of Vanessa's long-term plan, he has seven days-and seven naughty nights-to turn her seven-rule plan upside down""--Page 4 of cover.","Rules of entanglement by Gina L. Maxwell. ""District Attorney Vanessa MacGregor firmly believes that structure and order are the stuff that dreams are made of. Happiness can be planned-and it starts with the seven rules she's laid out for her future. But as she's organizing her best friend's wedding in Hawaii, all of Vanessa's best-laid plans are about to meet their match in a wickedly hot MMA fighter. Jackson ""Jax"" Maris is focused on surfing, training, and fighting. That is, until he opens up his big mouth and finds himself having to pretend he's engaged to his little sister's best friend, Vanessa. When they're forced to share a romantic bungalow, however, their little charade suddenly takes a turn for the seriously sexy. And while Jax is definitely not part of Vanessa's long-term plan, he has seven days-and seven naughty nights-to turn her seven-rule plan upside down""--Page 4 of cover."
125005236X,Lick,Kylie Scott,"""Waking up in Vegas was never meant to be like this. Evelyn Thomas's plans for celebrating her twenty-first birthday in Las Vegas were big. Huge. But she sure never meant to wake up on the bathroom floor with a hangover to rival the black plague, a very attractive half-naked tattooed man in her room, and a diamond on her finger large enough to scare King Kong. Now if she could just remember how it all happened. One thing is certain, being married to one of the hottest rock stars on the planet is sure to be a wild ride""-- 

 Stage Dive - Kylie Scott 
1) Lick (David Ferris & Evelyn Thomas) 
2) Play (Mal Erickson & Anne Rollins) 
3) Lead (Jimmy Ferris & Lena Morrissey) 
4) Deep (Ben Nicholson & Lizzy Rollins)","Lick by Kylie Scott. ""Waking up in Vegas was never meant to be like this. Evelyn Thomas's plans for celebrating her twenty-first birthday in Las Vegas were big. Huge. But she sure never meant to wake up on the bathroom floor with a hangover to rival the black plague, a very attractive half-naked tattooed man in her room, and a diamond on her finger large enough to scare King Kong. Now if she could just remember how it all happened. One thing is certain, being married to one of the hottest rock stars on the planet is sure to be a wild ride""-- 

 Stage Dive - Kylie Scott 
1) Lick (David Ferris & Evelyn Thomas) 
2) Play (Mal Erickson & Anne Rollins) 
3) Lead (Jimmy Ferris & Lena Morrissey) 
4) Deep (Ben Nicholson & Lizzy Rollins)"
1250058236,Night owl,M. Pierce,"Matt Sky has the perfect life. He has a beautiful girlfriend, a massive inheritance, and four national bestsellers all penned under his airtight alias, M. Pierce. Hannah Catalano is a train wreck. Her boyfriend is a deadbeat and her job is abysmal. When Matt and Hannah meet online, they forge a strong connection as writing partners, but Matt has rules: no last names, no pictures, no specifics. Their relationship is safe, anonymous, and innocent, until Hannah breaks the rules and Matt accidentally sees a picture of her that sparks an attraction he is powerless to ignore. When circumstances bring Matt and Hannah together, the strangers begin a wild, uncontrollable romance.","Night owl by M. Pierce. Matt Sky has the perfect life. He has a beautiful girlfriend, a massive inheritance, and four national bestsellers all penned under his airtight alias, M. Pierce. Hannah Catalano is a train wreck. Her boyfriend is a deadbeat and her job is abysmal. When Matt and Hannah meet online, they forge a strong connection as writing partners, but Matt has rules: no last names, no pictures, no specifics. Their relationship is safe, anonymous, and innocent, until Hannah breaks the rules and Matt accidentally sees a picture of her that sparks an attraction he is powerless to ignore. When circumstances bring Matt and Hannah together, the strangers begin a wild, uncontrollable romance."
140220521X,How to kill a rock star,Tiffanie DeBartolo,,How to kill a rock star by Tiffanie DeBartolo
1402244428,Backstage Pass,Olivia Cunning,,Backstage Pass by Olivia Cunning
1402245777,Rock hard,Olivia Cunning,,Rock hard by Olivia Cunning
1402245831,Hot Ticket,Olivia Cunning,,Hot Ticket by Olivia Cunning
1402245866,Wicked beat,Olivia Cunning,"When Rebekah Blake becomes the Sinners' new soundboard operator, she has no idea that red-hot drummer Eric Sticks is the only man who can give her everything her dirty mind desires... but will indulging their hottest fantasies do anything to soothe their emotional issues?","Wicked beat by Olivia Cunning. When Rebekah Blake becomes the Sinners' new soundboard operator, she has no idea that red-hot drummer Eric Sticks is the only man who can give her everything her dirty mind desires... but will indulging their hottest fantasies do anything to soothe their emotional issues?"
1402271514,Double Time,Olivia Cunning,,Double Time by Olivia Cunning
1402284853,Against the ropes,Sarah Castille,"Makayla never thought she'd set foot in an elite mixed martial arts club. But if anyone needs a medic on hand, it's these guys. Then again, at her first sight of the club's owner, she's the one feeling breathless. The man they call Torment is all sleek muscle and restrained power. Whether it's in the ring or in the bedroom, he knows exactly when a soft touch is required and when to launch a full-on assault. He always knows just how far he can push. And he's about to tempt Makayla in ways she never imagined ...","Against the ropes by Sarah Castille. Makayla never thought she'd set foot in an elite mixed martial arts club. But if anyone needs a medic on hand, it's these guys. Then again, at her first sight of the club's owner, she's the one feeling breathless. The man they call Torment is all sleek muscle and restrained power. Whether it's in the ring or in the bedroom, he knows exactly when a soft touch is required and when to launch a full-on assault. He always knows just how far he can push. And he's about to tempt Makayla in ways she never imagined ..."
1419953249,The Sweet Gum Tree,Katherine Allred,,The Sweet Gum Tree by Katherine Allred
1419953656,Undressed,Avery Aster,,Undressed by Avery Aster
1419970291,Reaper's Property,Joanna Wylde,,Reaper's Property by Joanna Wylde
144235948X,Beautiful Disaster,Jamie McGuire,,Beautiful Disaster by Jamie McGuire
1442485256,The Vincent Boys,Abbi Glines,"Tired of trying to live up to the expectations of her popular boyfriend, Sawyer, Ashton finds herself attracted to Sawyer's cousin, Beau, who, despite not wanting to hurt his cousin, finds Ashton irresistable.

Beau loves his cousin like a brother, so the last thing he wants to do is make a move on Sawyer's girl, even though he has been in love with her forever. The plot contains profanity and sexual situations.","The Vincent Boys by Abbi Glines. Tired of trying to live up to the expectations of her popular boyfriend, Sawyer, Ashton finds herself attracted to Sawyer's cousin, Beau, who, despite not wanting to hurt his cousin, finds Ashton irresistable.

Beau loves his cousin like a brother, so the last thing he wants to do is make a move on Sawyer's girl, even though he has been in love with her forever. The plot contains profanity and sexual situations."
1442485280,The Vincent Brothers,Abbi Glines,"After her cousin Ashton breaks up with her popular boyfriend, Sawyer Vincent, Lana tries to win over his heart, but Sawyer may only be interested in her to make Ashton jealous.","The Vincent Brothers by Abbi Glines. After her cousin Ashton breaks up with her popular boyfriend, Sawyer Vincent, Lana tries to win over his heart, but Sawyer may only be interested in her to make Ashton jealous."
1442488603,Just For Now,Abbi Glines,"Devastated by a failed attempt to win the affections of bad-boy crush Preston, Amanda is astonished by Preston's subsequent attentions and finds the relationship challenged by her disapproving older brother and Preston's wary friends.","Just For Now by Abbi Glines. Devastated by a failed attempt to win the affections of bad-boy crush Preston, Amanda is astonished by Preston's subsequent attentions and finds the relationship challenged by her disapproving older brother and Preston's wary friends."
1442488638,Because of Low,Abbi Glines,"When Marcus has no choice but to move into his friend's apartment, he falls for the girl his roommate hopes to marry one day.","Because of Low by Abbi Glines. When Marcus has no choice but to move into his friend's apartment, he falls for the girl his roommate hopes to marry one day."
1442488662,While it Lasts,Abbi Glines,"Maybe driving home after a few (or more) shots of tequila had been a bad idea, but hell, he did it all the time. The cops had to have been freaking bored to have pulled him over. He wasn't even swerving! That's Cage York's story and he's sticking to it. Unfortunately, his baseball coach isn't buying it. Cage has a free ride to the local junior college for baseball -- or he did, until he'd gotten a DUI. Now, Cage has to decide: does he drop out and give up his dream of getting noticed by a college in the SEC, and possibly making it into the Major Leagues -- or does he give in to his coach's demands and spend his summer baling hay? Eva Brooks planned out her life step by step when she was eight years old. Not once over the years had she lost sight of her goals. Josh Beasley, her next door neighbor, had been the center of those goals. He'd been her first boyfriend at seven, her first kiss at ten, her first date at fifteen, and her first tragedy at eighteen. The moment she'd received the phone call from Josh's mother saying he'd been killed along with four other soldiers just north of Baghdad, Eva's carefully planned life imploded in the worst way possible. Cage isn't real happy with his closet-sized bedroom in the back of a foul smelling barn, or his daily interactions with cows, but he knows that if he doesn't make his coach happy then he can kiss his scholarship goodbye. Only a sick and twisted man would decide his punishment was to be working on a farm all summer. No hot babes in bikinis waiting to meet a Southern boy to make her vacation complete. Just him and the damned cows. Oh -- and an uptight, snarky brunette with the biggest blue eyes he's every seen. But she doesn't count, because as hard as he's tried to charm her out of her panties - he's pretty sure she'd rather see him hung from the rafters than let him get a taste of her pretty little lips.","While it Lasts by Abbi Glines. Maybe driving home after a few (or more) shots of tequila had been a bad idea, but hell, he did it all the time. The cops had to have been freaking bored to have pulled him over. He wasn't even swerving! That's Cage York's story and he's sticking to it. Unfortunately, his baseball coach isn't buying it. Cage has a free ride to the local junior college for baseball -- or he did, until he'd gotten a DUI. Now, Cage has to decide: does he drop out and give up his dream of getting noticed by a college in the SEC, and possibly making it into the Major Leagues -- or does he give in to his coach's demands and spend his summer baling hay? Eva Brooks planned out her life step by step when she was eight years old. Not once over the years had she lost sight of her goals. Josh Beasley, her next door neighbor, had been the center of those goals. He'd been her first boyfriend at seven, her first kiss at ten, her first date at fifteen, and her first tragedy at eighteen. The moment she'd received the phone call from Josh's mother saying he'd been killed along with four other soldiers just north of Baghdad, Eva's carefully planned life imploded in the worst way possible. Cage isn't real happy with his closet-sized bedroom in the back of a foul smelling barn, or his daily interactions with cows, but he knows that if he doesn't make his coach happy then he can kiss his scholarship goodbye. Only a sick and twisted man would decide his punishment was to be working on a farm all summer. No hot babes in bikinis waiting to meet a Southern boy to make her vacation complete. Just him and the damned cows. Oh -- and an uptight, snarky brunette with the biggest blue eyes he's every seen. But she doesn't count, because as hard as he's tried to charm her out of her panties - he's pretty sure she'd rather see him hung from the rafters than let him get a taste of her pretty little lips."
